Question Text,Reworded Question,Source,Category,Second Category,Theme,
"As a child, what did you want to be when you grew up?","When you were a child, what did you want to be when you grew up?",Bank of America,Aspirations,,Childhood,
At which company was your first job?,What is the name of the first company you worked for?,www.nsandi.com,Firsts,,,
Choose your own phrase (At least 2 words),Choose your own phrase (at least two words),EBay,Other,,,
Choose your own phrase (at least two words),Choose your own phrase (at least two words),EBay,Other,,,
City of Birth?,In which city were you born?,L.L. Bean,Location,,Childhood,
City where you had your first job?,In what city was your first job?,Citi,Firsts,Location,,
City where you had your first job?,In what city was your first job?,American Airlines,Firsts,Location,,
City where you met your other half?,In what city did you meet your spouse/significant other?,EBay,Location,,Family,
City where you met your spouse/partner?,In what city did you meet your spouse/significant other?,Citi,Location,,Family,
City where you met your spouse/partner?,In what city did you meet your spouse/significant other?,American Airlines,Location,,Family,
Die letzten 4 Ziffern Ihrer Kreditkarte,What are the last four digits of your credit card?,web.de,Numbers,,,
During what month did you meet your spouse or significant other?,During what month did you meet your spouse or significant other?,United Airlines,Time,,Family,
Eigene Frage,Choose your own question,web.de,Other,,,
Enter a frequent flyer number.,What is your primary frequent flyer number?,Ohio State University (my.osu.edu),Numbers,,,
Enter a non-current telephone number.,Enter a non-current telephone number.,Ohio State University (my.osu.edu),Numbers,,,
Favorite book?,What is your favorite book?,L.L. Bean,Favorites,,,
Favorite fishing spot?,Favorite fishing spot?,L.L. Bean,Favorites,,,
Favorite hiking spot?,Favorite hiking spot?,L.L. Bean,Favorites,Location,,
Favorite hunting spot?,Favorite hunting spot?,L.L. Bean,Favorites,Location,,
Favorite TV show when you were young?,Favorite TV show when you were young?,American Airlines,Favorites,,Childhood,
Favorite vacation spot,What is your favorite vacation destination?,EBay,Location,,,
First boyfriend or girlfriend?,What is the name of your first boyfriend or girlfriend?,L.L. Bean,Name,,,
First Company You Worked For,What is the name of the first company you worked for?,EBay,Firsts,,,
First company you worked for?,What is the name of the first company you worked for?,EBay,Firsts,,,
First Concert You Attended,What was the first concert you attended?,EBay,Firsts,,,
First concert you attended?,What was the first concert you attended?,Citi,Firsts,,,
First concert you attended?,What was the first concert you attended?,EBay,Firsts,,,
First concert you attended?,What was the first concert you attended?,American Airlines,Firsts,,,
First Foreign Country / Region You Visited,What was the first foreign country you visited?,Citi,Firsts,Location,,
First Foreign Country You Visited,What was the first foreign country you visited?,EBay,Firsts,Location,,
First name of best man or maid of honor,What is the first name of the best man/maid of honor at your wedding?,EBay,Name,,Family,
First name of oldest cousin,What is your oldest cousin's first name?,EBay,Name,,Family,
First name of your best friend,What is the name of your childhood best friend?,EBay,Name,,Childhood,
First three words of favorite quote,First three words of favorite quote,EBay,Favorites,,,
Geburtsname der Mutter,What is your mother's maiden name?,web.de,Name,,Family,
Give a name of a favorite teacher,What is the last name of your favorite teacher?,Ohio State University (my.osu.edu),Name,Favorites,Childhood,
Hospital where you were born,What is the name of the hospital you were born in?,EBay,Location,,Childhood,
Hospital where your first child was born,What is the name of the hospital where your first child was born in?,EBay,Location,,Family,
How do you describe yourself in one word?,How do you describe yourself in one word?,Source Withheld,Other,,,
"If you were an animal, what animal would you be?","If you were an animal, what animal would you be?",Source Withheld,Other,,,
In what city did you first visit a museum?,In what city did you first visit a museum?,USCIS,Firsts,Location,,
In what city did you honeymoon? (Enter full name of city only),Where did you go on your honeymoon?,Bank of America,Location,,Family,
In what city did you meet your spouse or significant other?,In what city did you meet your spouse/significant other?,T-Mobile,Location,,Family,
In what city did you meet your spouse or significant other?,In what city did you meet your spouse/significant other?,Spectrum,Location,,Family,
In what city did you meet your spouse or significant other?,In what city did you meet your spouse/significant other?,T-Mobile,Location,,Family,
In what city did you meet your spouse/significant other?,In what city did you meet your spouse/significant other?,Bank of America,Location,,Family,
In what city did you meet your spouse/significant other?,In what city did you meet your spouse/significant other?,T-Mobile,Location,,Family,
In what city did your mother and father meet?,In what city did your parents meet?,T-Mobile,Location,,Family,
In what city did your nearest sibling live?,In what city does your nearest sibling live?,T-Mobile,Location,,Family,
In what city did your parents meet?,In what city did your parents meet?,howtogeek.com,Location,,Family,
In what city did your parents meet?,In what city did your parents meet?,Apple,Location,,Family,
In what city does your nearest sibling live?,In what city does your nearest sibling live?,US Bank,Location,,Family,
In what city does your nearest sibling live?,In what city does your nearest sibling live?,T-Mobile,Location,,Family,
In what city does your nearest sibling live?,In what city does your nearest sibling live?,Connecticut Department of Labor Tax and Benefits System,Location,,Family,
In what city or town did you meet your spouse/significant other?,In what city did you meet your spouse/significant other?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,US Bank,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,AT&T Mobile,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,Source Withheld,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,SUNY Buffalo,Location,,Family,
In what city or town did your mother and father meet?,In what city did your parents meet?,US Bank,Location,,Family,
In what city or town does your oldest sibling live?,In what city or town does your oldest sibling live?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city or town does your youngest sibling live?,In what city or town does your youngest sibling live?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city or town was your father born?,In what city or town was your father born?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city or town was your first job?,In what city was your first job?,Blue Cross Blue Shield Global Core (https://www.bcbsglobalcore.com/Account/Register/),Firsts,Location,,
In what city or town was your first job?,In what city was your first job?,Bank Fund Staff Federal Credit Union,Firsts,Location,,
In what city or town was your mother born?,In what city or town was your mother born?,Bank Fund Staff Federal Credit Union,Location,,Family,
In what city was your first job?,In what city was your first job?,US Bank,Firsts,Location,,
In what city was your mother born?,In which city was your mother born?,https://www.cengagebrain.co.uk/,Location,,Family,
In what city were you at the turn of the millenium?,"Where were you on January 1st, 2000?",Source Withheld,Location,,,
In what city were you born?,In which city were you born?,USPS,Location,,Childhood,
In what city were you born? (Enter full name of city only),In which city were you born?,Citizens Bank,Location,,Childhood,
In what city were you married?,In what city were you married?,FedLoan Servicing,Location,,Family,
"In what city, town, or village were you born?",In which city were you born?,SUNY Buffalo,Location,,Childhood,
In what city/town did you meet your spouse?,In what city did you meet your spouse/significant other?,USCIS,Location,,Family,
In what city/town were you in when you saw the ocean for the first time?,In what city/town were you in when you saw the ocean for the first time?,USCIS,Firsts,Location,,
"In what city/town were you on January 1, 2000?","Where were you on January 1st, 2000?",USCIS,Location,,,
In what month is your best friend's birthday?,In what month is your best friend's birthday?,United Airlines,Time,,,
In what street was the first address you lived in apart from your parents' home?,In what street was the first address you lived in apart from your parents' home?,www.nsandi.com,Location,,,
In what year was your spouse born (YYYY)?,In what year was your spouse born (YYYY)?,Citi Credit Card,Time,,Family,
In which city did you meet your spouse/significant other?,In what city did you meet your spouse/significant other?,Spectrum Internet,Location,,Family,
In which city did your parents get married?,In which city did your parents get married?,www.nsandi.com,Location,,Family,
In which city was your father born? (Enter full name of city only),In what city or town was your father born?,Bank of America,Location,,Family,
In which city was your grandfather born (father's father)?,In which city was your grandfather born (father's father)?,53.com,Location,,Family,
In which city was your mother born?,In which city was your mother born?,Citi Credit Card,Location,,Family,
In which city were you born?,In which city were you born?,Citi Credit Card,Location,,Childhood,
